article_id,ngay_dang_tin,nguon,tieu_de,tinh_trang
504,28/03/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Người đại diện sở hữu trái phiếu về sự kiện vi phạm của liên quan đến trái phiếu HQNCH2124007,Hiệu lực
503,27/03/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của CTCP Chứng khoán Tân Việt v/v vi phạm của doanh nghiệp phát hành ảnh hưởng đến quyền lợi của nhà đầu tư của mã trái phiếu BBP.H.20.23.001,Hiệu lực
502,27/03/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của CTCP Chứng khoán Tân Việt v/v vi phạm của doanh nghiệp phát hành ảnh hưởng đến quyền lợi của nhà đầu tư của mã trái phiếu HSC.H.20.23.001,Hiệu lực
501,27/03/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của CTCP Chứng khoán Tân Việt v/v vi phạm của doanh nghiệp phát hành ảnh hưởng đến quyền lợi của nhà đầu tư của mã trái phiếu HS2.H.20.23.001,Hiệu lực
482,19/03/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của CTCP Chứng khoán MB v/v vi phạm của doanh nghiệp phát hành ảnh hưởng đến quyền lợi của nhà đầu tư của mã trái phiếu NVLH2123010,Hiệu lực
481,18/03/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Công ty TNHH Chứng khoán Yuanta Việt Nam v/v vi phạm của doanh nghiệp phát hành ảnh hưởng đến quyền lợi của nhà đầu tư của mã trái phiếu NVLH2123013,Hiệu lực
461,11/03/2025,Sở Giao dịch Chứng khoán Hà Nội,Bản tin thị trường trái phiếu doanh nghiệp riêng lẻ tháng 02/2025,Hiệu lực
443,21/02/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Công ty cổ phần Chứng khoán VNDIRECT với tư cách là Tổ chức Đại diện Người sở hữu trái phiếu về việc vi phạm của Công ty cổ phần Phần mềm diệt vrus Bkav,Hiệu lực
442,21/02/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của công ty cổ phần chứng khoán MB v/v vi phạm của doanh nghiệp phát hành ảnh hưởng đến quyền lợi của nhà đầu tư của mã  trái phiếu NVLH2123010,Hiệu lực
421,13/02/2025,Sở Giao dịch Chứng khoán Hà Nội,Bản tin thị trường trái phiếu doanh nghiệp riêng lẻ tháng 01/2025,Hiệu lực
401,24/01/2025,Sở Giao dịch Chứng khoán Hà Nội,Bản tin thị trường trái phiếu doanh nghiệp riêng lẻ tháng 12/2024,Hiệu lực
381,09/12/2024,Sở Giao dịch Chứng khoán Hà Nội,Bản tin thị trường trái phiếu doanh nghiệp riêng lẻ tháng 11/2024,Hiệu lực
361,29/10/2024,Sở Giao dịch Chứng khoán Hà Nội,Thông báo về việc hủy bỏ Thông báo số 4717/TB-SGDHN ngày 21/10/2024 của Sở Giao dịch Chứng khoán Hà Nội,Hiệu lực
341,24/10/2024,Sở Giao dịch Chứng khoán Hà Nội,Bản tin thị trường trái phiếu doanh nghiệp riêng lẻ tháng 9/2024,Hiệu lực
321,09/09/2024,Sở Giao dịch Chứng khoán Hà Nội,Bản tin thị trường trái phiếu doanh nghiệp riêng lẻ tháng 8/2024,Hiệu lực
301,12/08/2024,Sở Giao dịch Chứng khoán Hà Nội,Bản tin thị trường trái phiếu doanh nghiệp riêng lẻ tháng 7/2024,Hiệu lực
281,08/07/2024,Sở Giao dịch Chứng khoán Hà Nội,Bản tin thị trường trái phiếu doanh nghiệp riêng lẻ tháng 6/2024,Hiệu lực
261,20/06/2024,Sở Giao dịch Chứng khoán Hà Nội,Bản tin thị trường trái phiếu doanh nghiệp riêng lẻ tháng 5/2024,Hiệu lực
241,21/09/2023,Sở Giao dịch Chứng khoán Hà Nội,"Thông tin về các câu hỏi và trả lời liên quan đến giao dịch và đăng ký giao dịch tại Hội nghị phổ biến quy định về đăng ký, lưu ký và đăng ký giao dịch ngày 15/09/2023",Hiệu lực
221,18/07/2023,Sở Giao dịch Chứng khoán Hà Nội,Bộ Quy trình giao dịch trái phiếu doanh nghiệp riêng lẻ trên hệ thống giao dịch trái phiếu doanh nghiệp của Sở GDCK Hà Nội (ban hành kèm theo Quyết định số 786/QĐ-SGDHN ngày 18/7/2023 của Tổng Giám đốc Sở GDCK Hà Nội),Hiệu lực
202,30/05/2023,Sở Giao dịch Chứng khoán Hà Nội,"Công bố Công văn số 5002/BTC-TCNH ngày 17/5/2023 của Bộ Tài chính về việc đề nghị các doanh nghiệp phát hành trái phiếu riêng lẻ có trái phiếu đáo hạn trong năm 2023 thanh toán đầy đủ, đúng hạn nợ lãi, gốc trái phiếu.",Hiệu lực
181,21/02/2023,Sở Giao dịch Chứng khoán Hà Nội,"Sở GDCK Chứng khoán Hà Nội thông báo Danh sách các tổ chức phát hành công bố thông tin bất thường và báo cáo theo yêu cầu từ ngày 16/9/2022 đến ngày 31/01/2023 có nội dung chậm thanh toán gốc, lãi",Hiệu lực
161,03/02/2023,Sở Giao dịch Chứng khoán Hà Nội,"Sở GDCK Hà Nội thông báo Danh sách các tổ chức phát hành báo cáo định kỳ tình hình thanh toán gốc, lãi trái phiếu 6 tháng đầu năm 2022 từ ngày 16/9/2022 đến ngày 31/12/2022 có nội dung chậm trả gốc, lãi",Hiệu lực
141,29/12/2022,Sở Giao dịch Chứng khoán Hà Nội,"Sở GDCK Hà Nội đăng tải CV 13257/BTC-TCNH ngày 15.12.2022 của Bộ Tài Chính và hướng dẫn của Bộ Tài Chính đối với mẫu báo cáo tuần của các doanh nghiệp và tổ chức đăng ký, lưu ký",Hiệu lực
121,01/12/2022,Sở Giao dịch Chứng khoán Hà Nội,"Thông báo tiếp theo về việc thanh toán đầy đủ, đúng hạn nợ lãi, gốc trái phiếu",Hiệu lực
102,25/10/2022,Sở Giao dịch Chứng khoán Hà Nội,Thông báo về việc thực hiện chế độ báo cáo của đại diện người sở hữu trái phiếu theo quy định tại Nghị định 65/2022/NĐ-CP,Hiệu lực
81,04/10/2022,Sở Giao dịch Chứng khoán Hà Nội,"Thông báo về việc thanh toán đầy đủ, đúng hạn nợ lãi, gốc trái phiếu",Hiệu lực
61,19/09/2022,Sở Giao dịch Chứng khoán Hà Nội,"Nghị định 65/2022/NĐ-CP ngày 16/9/2022 sửa đổi, bổ sung một số điều của Nghị định số 153/2020/NĐ-CP ngày 31 tháng 12 năm 2020 quy định về chào bán, giao dịch trái phiếu doanh nghiệp riêng lẻ tại thị trường trong nước và chào bán trái phiếu doanh nghiệp ra thị trường quốc tế",Hiệu lực
