article_id,ngay_dang_tin,ten_dn,ma_tp,tieu_de,ghi_chu,tinh_trang,file_id,loai_su_kien
22578,02/12/2024,CTCP Hưng Thịnh Land,HTL-H2023-007,"CTCP Hưng Thịnh Land CBTT bất thường - về việc: chậm thanh toán gốc, lãi trái phiếu HTL-H2023-007",,Hiệu lực,22578.0,cham_tra
22577,02/12/2024,CTCP Hưng Thịnh Land,HTL-H2023-006,"CTCP Hưng Thịnh Land CBTT bất thường - về việc: chậm thanh toán gốc, lãi trái phiếu HTL-H2023-006",,Hiệu lực,22577.0,cham_tra
22547,29/11/2024,Công ty Cổ phần xi măng Long Thành,LTCCH2136001,"Công ty Cổ phần xi măng Long Thành CBTT bất thường - về việc: Thay đổi điều kiện, điều khoản của trái phiếu phát hành",,Hiệu lực,22547.0,
22569,29/11/2024,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va,NVL2020-03-240,CTCP Tập đoàn Đầu tư Địa ốc Nova CBTT bất thường - về việc: Công bố thông tin bất thường về việc chậm thanh toán lãi Trái Phiếu NVL2020,,Hiệu lực,22569.0,cham_tra
22562,29/11/2024,CTCP Hưng Thịnh Land,HTL-H2023-005,"CTCP Hưng Thịnh Land CBTT bất thường - về việc: chậm thanh toán gốc, lãi trái phiếu HTL-H2023-005",,Hiệu lực,22562.0,cham_tra
22561,29/11/2024,CTCP Hưng Thịnh Land,HTLAND.2020.TV01,"CTCP Hưng Thịnh Land CBTT bất thường - về việc: chậm thanh toán gốc, lãi trái phiếu HTLAND.2020.TV01",,Hiệu lực,22561.0,cham_tra
22536,28/11/2024,Công ty cổ phần Tonkin Land,TKLCH2225001,Công ty cổ phần Tonkin Land CBTT bất thường - về việc: Chậm thanh toán lãi trái phiếu kỳ 06/11/2024,,Hiệu lực,22536.0,cham_tra
22518,28/11/2024,CÔNG TY TNHH NO VA THẢO ĐIỀN,NTDCH2227001,"CÔNG TY TNHH NO VA THẢO ĐIỀN CBTT bất thường - về việc: Công bố thông tin bất thường về việc thanh toán gốc, lãi của mã trái phiếu NTDCH2227001",,Hiệu lực,22518.0,
22513,27/11/2024,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va,NVL2020-03-140,CTCP Tập đoàn Đầu tư Địa ốc Nova CBTT bất thường - về việc: Công bố thông tin bất thường về việc chậm thanh toán lãi Trái Phiếu NVL2020,,Hiệu lực,22513.0,cham_tra
22506,27/11/2024,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va,NVL2020-03-190,CTCP Tập đoàn Đầu tư Địa ốc Nova CBTT bất thường - về việc: Công bố thông tin bất thường về việc chậm thanh toán lãi Trái Phiếu NVL2020,,Hiệu lực,22506.0,cham_tra
22501,27/11/2024,Công ty Cổ phần Chứng khoán SmartInvest,"AAS.1.20,AASL1921001,AASH2227001","Công ty Cổ phần Chứng khoán SmartInvest CBTT bất thường - về việc: Ngày 25/11/2024, Công ty nhận được Quyết định số 1304/QĐ-XPHC ngày 22/11/2024 quyết định xử phạt vi phạm hành chính của Ủy ban Chứng khoán Nhà nước",,Hiệu lực,22501.0,
22499,27/11/2024,Công ty Cổ phần đầu tư và cho thuê tài sản TNL,TNL.BOND.11.2019.08,Công ty Cổ phần đầu tư và cho thuê tài sản TNL CBTT bất thường - về việc: Nghị quyết Người sở hữu trái phiếu về việc kéo dài kỳ hạn trái phiếu,,Hiệu lực,22499.0,gia_han
22498,27/11/2024,Công ty Cổ phần đầu tư và cho thuê tài sản TNL,TNL.BOND.11.2019.07,Công ty Cổ phần đầu tư và cho thuê tài sản TNL CBTT bất thường - về việc: Nghị quyết Người sở hữu trái phiếu về việc kéo dài kỳ hạn trái phiếu,,Hiệu lực,22498.0,gia_han
22497,27/11/2024,Công ty Cổ phần đầu tư và cho thuê tài sản TNL,TNL.BOND.11.2019.06,Công ty Cổ phần đầu tư và cho thuê tài sản TNL CBTT bất thường - về việc: Nghị quyết Người sở hữu trái phiếu về việc kéo dài kỳ hạn trái phiếu,,Hiệu lực,22497.0,gia_han
22496,27/11/2024,Công ty Cổ phần đầu tư và cho thuê tài sản TNL,TNL.BOND.11.2019.05,Công ty Cổ phần đầu tư và cho thuê tài sản TNL CBTT bất thường - về việc: Nghị quyết Người sở hữu trái phiếu về việc kéo dài kỳ hạn trái phiếu,,Hiệu lực,22496.0,gia_han
22495,27/11/2024,Công ty Cổ phần đầu tư và cho thuê tài sản TNL,TNL.BOND.11.2019.04,Công ty Cổ phần đầu tư và cho thuê tài sản TNL CBTT bất thường - về việc: Nghị quyết Người sở hữu trái phiếu về việc kéo dài kỳ hạn trái phiếu,,Hiệu lực,22495.0,gia_han
22493,27/11/2024,Công ty Cổ phần đầu tư và cho thuê tài sản TNL,TNL.BOND.11.2019.03,Công ty Cổ phần đầu tư và cho thuê tài sản TNL CBTT bất thường - về việc: Nghị quyết Người sở hữu trái phiếu về việc kéo dài kỳ hạn trái phiếu,,Hiệu lực,22493.0,gia_han
22491,27/11/2024,Công ty Cổ phần đầu tư và cho thuê tài sản TNL,TNL.BOND.11.2019.02,Công ty Cổ phần đầu tư và cho thuê tài sản TNL CBTT bất thường - về việc: Nghị quyết Người sở hữu trái phiếu về việc kéo dài kỳ hạn trái phiếu,,Hiệu lực,22491.0,gia_han
